household_key,age,gender,education,marital_status,household_size_f,employment_income,other_income,windfall_income,agri_income,non_agri_income,transfer_income,total_income,food_expenditure,nonfood_expenditure,total_expenditure,expense_to_income_ratio,financial_surplus,savings_ratio,per_capita_income,employment_capacity,debt_amount,debt_records,debt_sources,debt_to_income_ratio,credit_card_debt,has_credit_card_debt,has_creditmix_match,credit_score,credit_defaulted,credit_clv,credit_fraud_txn,cc_utilization_ratio,cc_late_payments,cc_credit_lines,cc_debt_to_income_ratio,cc_total_spend_last_year,cc_avg_txn_amount,cc_total_txns,cc_tenure_years,vehicle_ownership,instalment_goods_flag,instalment_amount,financial_health_score,financial_risk_level
111007_6_1,57.0,1.0,7.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6167,22873,29040,5.0,-29040.0,-3.0,0.0,0.0,20.0,1.0,10.0,10.0,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,High Risk
111008_5_1,61.0,1.0,15.0,1,4,85000.0,0.0,0.0,0.0,0.0,89000.0,174000.0,6707,316232,322939,1.8559605979275982,-148939.0,-0.8559663450210057,43500.0,0.5,200028.0,1.0,12.0,0.09579880469405905,0.0,2.0,1,620.0,0.0,21872.0,0.0,0.09,1.0,7.0,0.06,10164.0,489.4771428571429,21.0,3.0,2,2.0,0.0,68.9,High Risk
111008_9_1,66.0,1.0,10.0,1,6,25000.0,0.0,0.0,0.0,0.0,0.0,25000.0,6530,112625,119155,4.766009359625615,-94155.0,-3.0,4166.666666666667,0.5,250020.0,1.0,12.0,0.8333972220092599,0.0,2.0,1,675.0,1.0,26301.0,0.0,0.51,3.0,1.0,0.85,8801.0,627.3458333333334,24.0,17.0,1,2.0,0.0,32.3,High Risk
111009_3_1,30.0,1.0,10.0,2,3,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5310,62780,68090,5.0,-67590.0,-3.0,166.66666666666666,0.0,15020.0,1.0,12.0,2.5029161806365607,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,24.1,High Risk
111009_7_1,83.0,2.0,19.0,1,2,45000.0,0.0,0.0,0.0,0.0,0.0,45000.0,2872,27990,30862,0.6858069820670651,14138.0,0.3141707962045288,22500.0,1.0,20.0,1.0,10.0,3.7036968450058424e-05,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,94.2,Low Risk
111010_10_1,66.0,1.0,10.0,2,8,141000.0,0.0,0.0,0.0,0.0,0.0,141000.0,15381,221138,236519,1.6774278196608534,-95519.0,-0.6774349118091361,17625.0,0.6,1530031.0,1.0,16.0,0.9042731062215684,30000.0,1.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,71.9,High Risk
111010_5_1,40.0,1.0,13.0,1,5,95000.0,40000.0,0.0,0.0,0.0,0.0,135000.0,9986,217820,227806,1.687439352301094,-92806.0,-0.6874467596536322,27000.0,0.3333333333333333,20.0,1.0,10.0,1.234567139156087e-05,0.0,2.0,1,591.0,0.0,55824.0,0.0,0.91,0.0,6.0,0.42,21069.0,430.6852173913044,23.0,25.0,2,2.0,0.0,69.7,High Risk
111011_5_1,36.0,1.0,12.0,1,5,105000.0,0.0,0.0,0.0,0.0,0.0,105000.0,11413,121438,132851,1.2652355691850554,-27851.0,-0.2652450929038771,21000.0,0.6666666666666666,300028.0,1.0,12.0,0.23811727133549895,0.0,2.0,1,667.0,0.0,58318.0,1.0,0.92,2.0,2.0,0.99,30903.0,467.470625,16.0,23.0,2,2.0,0.0,85.3,Medium Risk
111012_2_1,44.0,1.0,8.0,2,3,35000.0,0.0,80000.0,0.0,0.0,0.0,115000.0,4830,80549,85379,0.7424196311336423,29621.0,0.25757167328979746,38333.333333333336,0.6666666666666666,55028.0,1.0,14.0,0.03987533342367143,0.0,2.0,1,713.0,0.0,49706.0,0.0,0.15,3.0,6.0,0.59,9973.0,579.0511764705882,17.0,27.0,1,2.0,0.0,88.6,Low Risk
111012_8_1,57.0,1.0,13.0,1,5,165000.0,0.0,300000.0,0.0,0.0,0.0,465000.0,5973,455516,461489,0.9924473280702623,3511.0,0.007550521396728179,93000.0,0.6,20.0,1.0,10.0,3.5842287483461023e-06,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,87.2,Low Risk
111013_5_1,90.0,1.0,16.0,2,2,0.0,0.0,0.0,0.0,0.0,33000.0,33000.0,4512,66933,71445,2.1649343959273963,-38445.0,-1.1649646980394532,16500.0,0.0,20.0,1.0,10.0,5.050492296736624e-05,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,59.8,High Risk
111014_1_1,37.0,2.0,5.0,1,5,0.0,360000.0,0.0,0.0,0.0,0.0,360000.0,5681,45628,51309,0.14252460409832196,308691.0,0.8574726181316163,72000.0,0.0,90028.0,1.0,14.0,0.020839809990784726,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,87.9,Low Risk
111014_6_1,64.0,1.0,8.0,2,6,30000.0,0.0,40000.0,0.0,0.0,0.0,70000.0,9862,195555,205417,2.9344866501907116,-135417.0,-1.9345009357009186,11666.666666666666,0.16666666666666666,540028.0,1.0,12.0,0.6428897108455823,0.0,2.0,1,673.0,0.0,22962.0,1.0,0.26,0.0,4.0,0.23,4626.0,441.0206896551724,29.0,26.0,1,2.0,0.0,54.4,High Risk
111015_1_1,43.0,1.0,10.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5650,42865,48515,5.0,-48515.0,-3.0,0.0,0.0,440025.0,1.0,16.0,10.0,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.4,High Risk
111015_5_1,79.0,2.0,2.0,2,4,35000.0,0.0,250000.0,0.0,0.0,0.0,285000.0,6813,232497,239310,0.8396812642762657,45690.0,0.1603152269641159,71250.0,0.3333333333333333,205036.0,1.0,14.0,0.059952029253792616,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,86.5,Low Risk
111016_10_1,47.0,1.0,10.0,1,4,45000.0,0.0,0.0,0.0,0.0,34000.0,79000.0,4375,185647,190022,2.405311325173099,-111022.0,-1.4053239832407185,19750.0,0.3333333333333333,756021.0,1.0,12.0,0.79748966509529,0.0,2.0,1,705.0,0.0,30900.0,0.0,0.63,0.0,8.0,0.19,10338.0,502.4045454545456,33.0,27.0,1,2.0,0.0,61.9,High Risk
111016_1_1,46.0,1.0,11.0,2,4,45000.0,0.0,0.0,0.0,0.0,29000.0,74000.0,5425,62371,67796,0.916149781759706,6204.0,0.08383670490939311,18500.0,0.3333333333333333,20.0,1.0,10.0,2.2522497159350047e-05,0.0,2.0,1,629.0,0.0,62657.0,0.0,0.33,0.0,3.0,0.33,38424.0,573.9594736842105,19.0,3.0,0,2.0,0.0,81.8,Medium Risk
111016_5_1,53.0,1.0,11.0,1,4,43200.0,0.0,60000.0,0.0,0.0,0.0,103200.0,8760,175444,184204,1.7849051850272768,-81004.0,-0.7849148748558638,25800.0,0.3333333333333333,2220025.0,1.0,16.0,1.7926543986963834,0.0,2.0,1,692.0,0.0,20387.0,0.0,0.17,2.0,4.0,0.97,7830.0,610.14875,16.0,12.0,2,2.0,0.0,67.2,High Risk
111017_2_1,52.0,1.0,11.0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7051,611330,618381,5.0,-618381.0,-3.0,0.0,0.0,7560030.0,1.0,14.0,10.0,60000.0,1.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,0.0,10.5,High Risk
111017_6_1,54.0,2.0,11.0,1,4,15000.0,0.0,0.0,0.0,0.0,0.0,15000.0,3760,100100,103860,5.0,-88860.0,-3.0,3750.0,0.25,20.0,1.0,10.0,0.00011111049383058984,0.0,2.0,1,649.0,0.0,3423.0,0.0,0.98,2.0,9.0,0.2,1816.0,687.5938461538461,13.0,17.0,3,2.0,0.0,39.8,High Risk
111018_4_1,30.0,1.0,13.0,2,3,100000.0,0.0,0.0,0.0,0.0,0.0,100000.0,12004,179105,191109,1.911070889291107,-91109.0,-0.9110808891911081,33333.333333333336,1.0,20.0,1.0,10.0,1.6666652777789352e-05,0.0,2.0,1,599.0,0.0,60254.0,0.0,0.78,1.0,9.0,0.24,25938.0,410.06388888888887,18.0,26.0,1,2.0,0.0,76.0,Medium Risk
111019_10_1,52.0,2.0,11.0,1,6,50000.0,19000.0,150000.0,0.0,0.0,0.0,219000.0,10494,279788,290282,1.3254825320432326,-71282.0,-0.32548709823242816,36500.0,0.2,301022.0,1.0,14.0,0.11454409644440774,21000.0,1.0,1,734.0,1.0,22241.0,2.0,0.25,0.0,9.0,0.95,11011.0,594.58,16.0,7.0,2,2.0,0.0,68.8,High Risk
111019_2_1,54.0,1.0,13.0,1,4,100000.0,0.0,75000.0,0.0,0.0,0.0,175000.0,9435,291690,301125,1.7207044531174107,-126125.0,-0.7207101673704722,43750.0,0.6666666666666666,355041.0,1.0,18.0,0.16906706234901792,150000.0,1.0,1,667.0,0.0,77618.0,2.0,0.16,1.0,9.0,0.17,27125.0,504.2292857142857,14.0,28.0,4,2.0,0.0,70.5,High Risk
111019_6_1,83.0,1.0,11.0,2,3,50000.0,90000.0,0.0,0.0,0.0,0.0,140000.0,8047,92780,100827,0.7201877129449076,39173.0,0.27980514424896963,46666.666666666664,0.5,20.0,1.0,10.0,1.1904754818598323e-05,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,88.8,Low Risk
111020_5_1,62.0,2.0,6.0,4,1,0.0,300000.0,0.0,0.0,0.0,25000.0,325000.0,3432,46590,50022,0.15391337257423823,274978.0,0.8460835505121522,325000.0,0.0,20.0,1.0,10.0,5.128203813281073e-06,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,85.0,Medium Risk
111021_2_1,33.0,2.0,13.0,1,5,0.0,1215000.0,0.0,0.0,0.0,0.0,1215000.0,6288,113180,119468,0.0983274910884847,1095532.0,0.9016716858669253,243000.0,0.0,1000022.0,1.0,12.0,0.06858860983617217,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,87.2,Low Risk
111021_9_1,55.0,1.0,4.0,2,6,58000.0,0.0,0.0,0.0,0.0,3500.0,61500.0,8023,37295,45318,0.7368660672184192,16182.0,0.26311767288336774,10250.0,0.6666666666666666,50028.0,1.0,14.0,0.06778852603180754,0.0,2.0,1,596.0,1.0,39489.0,0.0,0.25,3.0,6.0,0.51,11053.0,388.5184615384615,13.0,14.0,0,2.0,0.0,80.5,Medium Risk
111022_3_1,75.0,2.0,4.0,1,2,8000.0,0.0,0.0,0.0,0.0,20000.0,28000.0,6533,50458,56991,2.035320167136888,-28991.0,-1.0353558801471376,14000.0,1.0,250024.0,1.0,12.0,0.7441168329856162,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,77.8,Medium Risk
111022_9_1,67.0,1.0,12.0,1,5,35000.0,0.0,500000.0,0.0,0.0,21900.0,556900.0,7469,604240,611709,1.0984160559955898,-54809.0,-0.09841785164688158,111380.0,0.5,56036.0,1.0,14.0,0.008385106783817145,0.0,2.0,1,720.0,0.0,37577.0,1.0,0.28,2.0,6.0,0.17,7732.0,384.20464285714286,28.0,13.0,1,2.0,0.0,83.7,Medium Risk
111023_10_1,71.0,2.0,10.0,2,7,0.0,0.0,0.0,0.0,0.0,23000.0,23000.0,8843,132080,140923,5.0,-117923.0,-3.0,3285.714285714286,0.0,20.0,1.0,10.0,7.246350556700882e-05,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,36.5,High Risk
111023_6_1,38.0,1.0,13.0,2,3,61000.0,0.0,20000.0,0.0,0.0,0.0,81000.0,4853,105785,110638,1.365884371797879,-29638.0,-0.3658967173244775,27000.0,0.5,520023.0,1.0,16.0,0.5350025360056214,0.0,2.0,1,701.0,0.0,40060.0,0.0,0.33,1.0,8.0,0.04,19474.0,569.0595238095239,21.0,3.0,1,2.0,0.0,77.8,Medium Risk
111024_7_1,43.0,1.0,11.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7722,53590,61312,5.0,-61312.0,-3.0,0.0,0.0,600023.0,1.0,16.0,10.0,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,High Risk
111025_10_1,44.0,2.0,13.0,2,7,0.0,480000.0,0.0,0.0,0.0,0.0,480000.0,6528,80450,86978,0.18120378915877258,393022.0,0.8187941275122343,68571.42857142857,0.0,20.0,1.0,10.0,3.4722216194059686e-06,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,86.8,Low Risk
111025_2_1,52.0,1.0,10.0,2,4,0.0,0.0,840000.0,0.0,0.0,30013.0,870013.0,7480,417389,424869,0.48834731395126973,445144.0,0.5116515366419391,217503.25,0.0,954264.0,1.0,12.0,0.09140322315076296,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,85.4,Medium Risk
111025_6_1,53.0,1.0,13.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7558,70128,77686,5.0,-77686.0,-3.0,0.0,0.0,20.0,1.0,10.0,10.0,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,7.8,High Risk
111026_7_1,62.0,1.0,10.0,2,8,218000.0,20000.0,0.0,0.0,0.0,0.0,238000.0,14153,173629,187782,0.7889966848878787,50218.0,0.21099911344910316,29750.0,0.7142857142857143,20.0,1.0,10.0,7.002798668487861e-06,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,90.2,Low Risk
111027_1_1,36.0,1.0,13.0,1,5,379000.0,0.0,15000.0,0.0,0.0,0.0,394000.0,3995,221529,225524,0.5723944863084104,168476.0,0.4276029756269654,78800.0,1.0,5850028.0,1.0,20.0,1.2373153051363568,200000.0,1.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,87.4,Low Risk
111027_7_1,38.0,1.0,11.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7530,117665,125195,5.0,-125195.0,-3.0,0.0,0.0,600021.0,1.0,12.0,10.0,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,0.0,5.4,High Risk
111028_2_1,37.0,1.0,11.0,2,7,70000.0,400000.0,0.0,0.0,0.0,0.0,470000.0,10092,262500,272592,0.5799817447196921,197408.0,0.42001612762526036,67142.85714285714,0.25,400028.0,1.0,12.0,0.07092693777891174,0.0,2.0,1,675.0,1.0,28377.0,1.0,0.47,1.0,7.0,0.98,8226.0,519.2847619047619,21.0,11.0,1,2.0,0.0,76.5,Medium Risk
111028_8_1,65.0,1.0,8.0,1,4,65000.0,0.0,0.0,0.0,0.0,0.0,65000.0,13791,87579,101370,1.559514469008169,-36370.0,-0.559529853386871,16250.0,0.3333333333333333,100020.0,1.0,12.0,0.1282306048325579,0.0,2.0,1,623.0,0.0,51121.0,0.0,0.04,1.0,6.0,0.21,16831.0,405.92894736842106,19.0,7.0,0,2.0,0.0,72.7,Medium Risk
111029_1_1,27.0,1.0,10.0,2,3,60000.0,0.0,0.0,0.0,0.0,0.0,60000.0,4779,101698,106477,1.774587090215163,-46477.0,-0.7746037566040566,20000.0,0.5,1820031.0,1.0,16.0,2.527817322475941,0.0,2.0,1,654.0,1.0,64652.0,0.0,0.78,0.0,7.0,0.22,13986.0,399.1217857142857,28.0,6.0,2,2.0,0.0,63.5,High Risk
111029_5_1,60.0,1.0,7.0,1,2,20000.0,0.0,20000.0,0.0,0.0,0.0,40000.0,1109,463695,464804,5.0,-424804.0,-3.0,20000.0,0.5,20.0,1.0,10.0,4.1666579861291955e-05,0.0,2.0,1,645.0,0.0,31308.0,0.0,0.38,0.0,3.0,0.62,7024.0,544.966,20.0,16.0,2,2.0,0.0,48.2,High Risk
111030_3_1,77.0,2.0,8.0,1,2,27500.0,0.0,0.0,0.0,0.0,0.0,27500.0,3834,49291,53125,1.931747936438675,-25625.0,-0.9317842987527726,13750.0,1.0,20.0,1.0,10.0,6.0605876951888026e-05,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,81.2,Medium Risk
111030_8_1,36.0,1.0,8.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3976,24010,27986,5.0,-27986.0,-3.0,0.0,0.0,20.0,1.0,10.0,10.0,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,1.5,High Risk
111031_2_1,52.0,2.0,9.0,1,2,23900.0,0.0,0.0,0.0,0.0,0.0,23900.0,5199,19770,24969,1.0446843228316807,-1069.0,-0.044726162085268396,11950.0,0.5,170021.0,1.0,12.0,0.5928187140212203,0.0,2.0,1,728.0,0.0,14408.0,2.0,0.11,1.0,9.0,0.09,6569.0,427.9941176470588,17.0,27.0,0,2.0,0.0,76.9,Medium Risk
111031_9_1,56.0,1.0,9.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7247,29910,37157,5.0,-37157.0,-3.0,0.0,0.0,20.0,1.0,10.0,10.0,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,5.4,High Risk
111032_10_1,29.0,1.0,9.0,2,3,65000.0,0.0,0.0,0.0,0.0,0.0,65000.0,6535,37135,43670,0.6718358179104937,21330.0,0.32814879771080446,21666.666666666668,0.5,20.0,1.0,10.0,2.564099276795799e-05,0.0,2.0,1,652.0,0.0,58865.0,0.0,0.57,2.0,8.0,0.74,20888.0,353.0442105263158,19.0,16.0,0,2.0,0.0,90.9,Low Risk
111032_5_1,42.0,1.0,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2605,16085,18690,5.0,-18690.0,-3.0,0.0,0.0,20.0,1.0,10.0,10.0,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.7,High Risk
111033_7_1,56.0,1.0,13.0,1,5,342000.0,0.0,200000.0,0.0,0.0,0.0,542000.0,19121,1156570,1175691,2.1691675845616523,-633691.0,-1.1691694295766981,108400.0,0.75,429524.0,1.0,14.0,0.0660399652460078,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,29500.0,74.5,Medium Risk
111034_1_1,46.0,1.0,11.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7040,41365,48405,5.0,-48405.0,-3.0,0.0,0.0,20.0,1.0,10.0,10.0,0.0,2.0,1,598.0,1.0,13418.0,2.0,0.37,0.0,6.0,0.43,4746.0,465.2447619047619,21.0,20.0,1,2.0,0.0,0.0,High Risk
111034_5_1,71.0,2.0,11.0,1,2,26000.0,0.0,0.0,0.0,0.0,28000.0,54000.0,2930,20845,23775,0.4402696246365808,30225.0,0.5597118571878299,27000.0,1.0,20.0,1.0,10.0,3.086414990100324e-05,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,92.2,Low Risk
111035_4_1,47.0,1.0,11.0,1,4,0.0,0.0,150000.0,0.0,0.0,0.0,150000.0,8184,230194,238378,1.589176072159519,-88378.0,-0.5891827387817414,37500.0,0.0,566622.0,1.0,14.0,0.31478982511676384,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,74.2,Medium Risk
111035_9_1,33.0,1.0,13.0,2,5,65000.0,16000.0,0.0,0.0,0.0,0.0,81000.0,9445,383820,393265,4.855063517734349,-312265.0,-3.0,16200.0,0.25,110023.0,1.0,12.0,0.11319227037832266,0.0,2.0,1,709.0,1.0,12546.0,0.0,0.65,1.0,3.0,0.6,10778.0,356.6875,20.0,17.0,2,2.0,0.0,38.8,High Risk
111036_3_1,59.0,2.0,8.0,2,5,46000.0,0.0,0.0,0.0,0.0,1800.0,47800.0,4573,20886,25459,0.5326039204200749,22341.0,0.4673751595154913,9560.0,0.5,100020.0,1.0,12.0,0.17437208094128148,0.0,2.0,1,681.0,0.0,67088.0,0.0,0.13,0.0,9.0,0.27,15078.0,580.2770833333333,24.0,0.0,0,2.0,0.0,87.6,Low Risk
111036_8_1,61.0,1.0,16.0,2,3,0.0,0.0,0.0,0.0,0.0,42000.0,42000.0,6565,246166,252731,5.0,-210731.0,-3.0,14000.0,0.0,260021.0,1.0,12.0,0.5159136589014705,260000.0,1.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,40.9,High Risk
